use_policy,architecture,hidden_layers,parameters,n_input,seed,fold,battery_id,rmse,mae
False,bottleneck_4,4,298,11,20260815,4,4,0.0009041126136800403,0.0007082510273903608
False,bottleneck_4,4,298,11,20260815,4,15,0.00025546347710304993,0.00019655228243209422
False,bottleneck_4,4,298,11,20260815,4,19,5.912177624483315e-05,4.476308822631836e-05
False,bottleneck_4,4,298,11,20260815,4,27,0.0001352092577830031,0.00011676788562908769
False,bottleneck_4,4,298,11,20260815,4,29,0.00014660367322636163,0.00013657688396051526
False,bottleneck_4,4,298,11,20260815,4,43,0.0009271609613951785,0.000805476913228631
False,bottleneck_4,4,298,11,20260815,4,44,0.00017442790869588688,0.00013405084609985352
False,bottleneck_4,4,298,11,20260815,4,48,0.0004626739360504286,0.00039186954381875694
False,bottleneck_4,4,298,11,20260815,5,18,0.0003532830399567039,0.0002813446626532823
False,bottleneck_4,4,298,11,20260815,5,21,9.862049146926768e-05,8.22162619442679e-05
False,bottleneck_4,4,298,11,20260815,5,28,0.00018382255088514812,0.00014360070053953677
False,bottleneck_4,4,298,11,20260815,5,31,0.00016733187953229175,0.00013013840361963958
False,bottleneck_4,4,298,11,20260815,5,32,0.00011154089603634989,9.026288898894563e-05
False,bottleneck_4,4,298,11,20260815,5,36,0.0001363610984537303,0.00011100291885668412
False,bottleneck_4,4,298,11,20260815,5,39,0.00011897428639422084,9.250164293916896e-05
False,bottleneck_4,4,298,11,20260815,5,46,0.000607147365022029,0.0005114567466080189
False,bottleneck_4,4,298,11,20260816,1,1,0.002134988202198247,0.001473346957936883
False,bottleneck_4,4,298,11,20260816,1,6,0.0006191190430549795,0.00048293350846506655
False,bottleneck_4,4,298,11,20260816,1,12,0.00030241230521323463,0.00023773909197188914
False,bottleneck_4,4,298,11,20260816,1,13,0.00014603159865538083,0.00013110757572576404
False,bottleneck_4,4,298,11,20260816,1,20,0.0001031326924084183,9.404301817994565e-05
False,bottleneck_4,4,298,11,20260816,1,22,7.985677846141393e-05,6.453037349274382e-05
False,bottleneck_4,4,298,11,20260816,1,47,0.00022476411277496414,0.000191069848369807
False,bottleneck_4,4,298,11,20260816,1,49,8.224527422303083e-05,6.558180029969662e-05
False,bottleneck_4,4,298,11,20260816,2,3,0.003817298598251367,0.003349816892296076
False,bottleneck_4,4,298,11,20260816,2,17,0.00023756174258776692,0.00020291924010962248
False,bottleneck_4,4,298,11,20260816,2,30,0.0004505006116019188,0.00038688062340952456
False,bottleneck_4,4,298,11,20260816,2,38,0.0002016233606514382,0.0001516878546681255
False,bottleneck_4,4,298,11,20260816,2,40,7.997865920108837e-05,5.8168174291495234e-05
False,bottleneck_4,4,298,11,20260816,2,41,0.00010364671886389734,7.369756349362433e-05
False,bottleneck_4,4,298,11,20260816,2,42,0.00013589159028321629,0.00010737776756286621
False,bottleneck_4,4,298,11,20260816,2,45,0.00011135801566048695,9.379148832522333e-05
False,bottleneck_4,4,298,11,20260816,3,7,0.0007344030677525493,0.0005474913050420582
False,bottleneck_4,4,298,11,20260816,3,8,0.0022452217737282524,0.0018902564188465476
False,bottleneck_4,4,298,11,20260816,3,23,0.00013547402152042356,0.00010181546531384811
False,bottleneck_4,4,298,11,20260816,3,26,0.0004556947510577858,0.00038769483217038214
False,bottleneck_4,4,298,11,20260816,3,33,0.00015251813608254628,0.00011183500464539975
False,bottleneck_4,4,298,11,20260816,3,34,0.00010220790646796291,6.127596134319901e-05
False,bottleneck_4,4,298,11,20260816,3,35,0.0013801910897515398,0.0012383842840790749
False,bottleneck_4,4,298,11,20260816,3,37,0.0002536959519203033,0.00021434546215459704
