window_end,use_policy,fold,battery_id,method,rmse,mae,r2
100,True,1,22,torch_mlp,0.00024459792967802645,0.0002226152141338389,0.25157540925599686
100,True,3,23,torch_mlp,0.00047872631236085946,0.0004129007930896478,0.3825380541819362
100,True,3,26,torch_mlp,0.00035892143601826425,0.0003301920861122198,0.3805037384968065
100,True,4,27,torch_mlp,0.00018136153408606034,0.00015247692084813025,0.8235874258801965
100,True,5,28,torch_mlp,0.00014806331821349826,0.00011915766750462353,0.9064441937670517
100,True,4,29,torch_mlp,8.983606466128108e-05,7.850445930671413e-05,0.9566014437400827
100,True,2,30,torch_mlp,0.0008800213252393563,0.0007436561412760056,0.8265745493618415
100,True,5,31,torch_mlp,0.0003018468516827397,0.00027773693276685665,0.5182659816961922
100,True,5,32,torch_mlp,0.0003427319886131158,0.00030809424835751996,0.389426851753099
100,True,3,33,torch_mlp,0.0001308541762807845,0.00011385738253011368,0.910830367220469
100,True,3,34,torch_mlp,0.00021607909560468922,0.0001678900258411886,0.8639228817919087
100,True,3,35,torch_mlp,0.0010403039793146843,0.0009046133194351569,0.8960993125429203
100,True,5,36,torch_mlp,0.0002572731618093864,0.00020893982731649884,0.6331646474172858
100,True,3,37,torch_mlp,0.0001873210984464179,0.0001369744792464189,0.8288685320781617
100,True,2,38,torch_mlp,3.0260344478332278e-05,2.5246253644581885e-05,0.996683942101985
100,True,5,39,torch_mlp,8.626676454547266e-05,6.451542823924683e-05,0.9650122158986106
100,True,2,40,torch_mlp,0.0001138933324361901,0.00010637744489940814,0.9577395390797818
